physical_id,case,Re,Lx,Lz,group,symmetry,shear,L2,is_trivial,source,representative_ubest,all_members
re400_lx10_lz6_026,re400_lx10_lz6,400.0,10.0,6.0,B,"<sxy, sz>",1.22409,0.265099,false,overnight,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re400_lx10_lz6/B/jkl_2_4_9/dns_findsoln/sol002/ubest.nc,"on:sol002@J2K4L9"
re400_lx10_lz6_032,re400_lx10_lz6,400.0,10.0,6.0,B,"<sxy, sz>",1.90712,0.339282,false,low_shear,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/low_shear/re400_lx10_lz6/B/jkl_2_4_5/dns_findsoln/sol003/ubest.nc,"ls:sol003@J2K4L5"
re400_lx10_lz6_001,re400_lx10_lz6,400.0,10.0,6.0,C,"<sxytz, sz>",3.94222e-13,9.79273e-13,true,low_shear,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/low_shear/re400_lx10_lz6/C/jkl_2_4_6/dns_findsoln/sol002/ubest.nc,"ls:sol002@J2K4L6"
re400_lx10_lz6_003,re400_lx10_lz6,400.0,10.0,6.0,C,"<sxytz, sz>",0.131507,0.0807176,false,both,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re400_lx10_lz6/C/jkl_3_5_11/dns_findsoln/sol001/ubest.nc,"on:sol001@J3K5L11;on:sol003@J2K4L9;ls:sol004@J1K4L5"
re400_lx10_lz6_006,re400_lx10_lz6,400.0,10.0,6.0,C,"<sxytz, sz>",0.207388,0.0928868,false,overnight,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re400_lx10_lz6/C/jkl_1_3_5/dns_findsoln/sol002/ubest.nc,"on:sol002@J1K3L5"
re400_lx10_lz6_008,re400_lx10_lz6,400.0,10.0,6.0,C,"<sxytz, sz>",0.261529,0.0987623,false,overnight,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re400_lx10_lz6/C/jkl_2_4_7/dns_findsoln/sol005/ubest.nc,"on:sol005@J2K4L7"
re400_lx10_lz6_012,re400_lx10_lz6,400.0,10.0,6.0,C,"<sxytz, sz>",0.419658,0.157738,false,low_shear,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/low_shear/re400_lx10_lz6/C/jkl_2_4_6/dns_findsoln/sol001/ubest.nc,"ls:sol001@J2K4L6"
re400_lx10_lz6_018,re400_lx10_lz6,400.0,10.0,6.0,C,"<sxytz, sz>",0.830027,0.212146,false,both,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re400_lx10_lz6/C/jkl_1_3_5/dns_findsoln/sol008/ubest.nc,"on:sol008@J1K3L5;ls:sol005@J1K3L5"
re400_lx10_lz6_020,re400_lx10_lz6,400.0,10.0,6.0,C,"<sxytz, sz>",1.00971,0.237853,false,low_shear,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/low_shear/re400_lx10_lz6/C/jkl_1_4_5/dns_findsoln/sol003/ubest.nc,"ls:sol003@J1K4L5"
re400_lx10_lz6_029,re400_lx10_lz6,400.0,10.0,6.0,C,"<sxytz, sz>",1.33606,0.294634,false,overnight,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re400_lx10_lz6/C/jkl_1_3_5/dns_findsoln/sol009/ubest.nc,"on:sol009@J1K3L5"
