physical_id,case,Re,Lx,Lz,shear,L2,is_trivial,source,groups,n_groups,representative_ubest
re400_lx10_lz6_024,re400_lx10_lz6,400.0,10.0,6.0,1.10926,0.223795,false,low_shear,"A",1,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/low_shear/re400_lx10_lz6/A/jkl_2_4_7/dns_findsoln/sol003/ubest.nc
re400_lx10_lz6_003,re400_lx10_lz6,400.0,10.0,6.0,0.131507,0.0807176,false,both,"B,C,D,E,F,G",6,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re400_lx10_lz6/B/jkl_3_5_11/dns_findsoln/sol001/ubest.nc
re400_lx10_lz6_010,re400_lx10_lz6,400.0,10.0,6.0,0.283843,0.119763,false,overnight,"B",1,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re400_lx10_lz6/B/jkl_2_4_5/dns_findsoln/sol003/ubest.nc
re400_lx10_lz6_026,re400_lx10_lz6,400.0,10.0,6.0,1.22409,0.265099,false,overnight,"B",1,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re400_lx10_lz6/B/jkl_2_4_9/dns_findsoln/sol002/ubest.nc
re400_lx10_lz6_032,re400_lx10_lz6,400.0,10.0,6.0,1.90712,0.339282,false,low_shear,"B",1,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/low_shear/re400_lx10_lz6/B/jkl_2_4_5/dns_findsoln/sol003/ubest.nc
re400_lx10_lz6_006,re400_lx10_lz6,400.0,10.0,6.0,0.207388,0.0928868,false,both,"C,D",2,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/low_shear/re400_lx10_lz6/D/jkl_2_4_9/dns_findsoln/sol001/ubest.nc
re400_lx10_lz6_018,re400_lx10_lz6,400.0,10.0,6.0,0.830027,0.212146,false,both,"C",1,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re400_lx10_lz6/C/jkl_1_3_5/dns_findsoln/sol008/ubest.nc
re400_lx10_lz6_020,re400_lx10_lz6,400.0,10.0,6.0,1.00971,0.237853,false,low_shear,"C",1,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/low_shear/re400_lx10_lz6/C/jkl_1_4_5/dns_findsoln/sol003/ubest.nc
re400_lx10_lz6_029,re400_lx10_lz6,400.0,10.0,6.0,1.33606,0.294634,false,overnight,"C",1,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re400_lx10_lz6/C/jkl_1_3_5/dns_findsoln/sol009/ubest.nc
re400_lx10_lz6_031,re400_lx10_lz6,400.0,10.0,6.0,1.41046,0.309908,false,overnight,"C",1,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re400_lx10_lz6/C/jkl_2_4_6/dns_findsoln/sol006/ubest.nc
