group,ix,iz,target_Lx,target_Lz,point_Lx,point_Lz,point_source,point_label,point_tag,point_ubest,min_Re,status,re_out_dir
E,14,3,14.28571429,3.14285714,14.28571429,3.13760604,existing_grid_geom,i14_j03,to_i14_j02_Lz:search-9,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/alpha_gamma_grid/eqb_alpha_gamma_grid/dns_space_map/grid_map/E/geom/i14_j03/to_i14_j02_Lz/search-9/ubest.nc,277.99979000,ok,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/alpha_gamma_grid/eqb_alpha_gamma_grid/dns_space_map/grid_map/E/re_fix_m01/i14_j03
E,15,3,15.00000000,3.14285714,15.00000000,3.14401390,existing_grid_geom,i15_j03,to_i15_j02_Lz:initial-1,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/alpha_gamma_grid/eqb_alpha_gamma_grid/dns_space_map/grid_map/E/geom/i15_j03/to_i15_j02_Lz/initial-1/ubest.nc,293.05732000,ok,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/alpha_gamma_grid/eqb_alpha_gamma_grid/dns_space_map/grid_map/E/re_fix_m01/i15_j03
E,1,4,5.00000000,3.71428571,,,,,,,,missing,
E,2,4,5.71428571,3.71428571,5.71428571,3.67670000,existing_grid_geom,i02_j04,to_i02_j03_Lz:initial-2,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/alpha_gamma_grid/eqb_alpha_gamma_grid/dns_space_map/grid_map/E/geom/i02_j04/to_i02_j03_Lz/initial-2/ubest.nc,300.10000000,failed,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/alpha_gamma_grid/eqb_alpha_gamma_grid/dns_space_map/grid_map/E/re_fix_m01/i02_j04
E,3,4,6.42857143,3.71428571,6.42857143,3.67670000,existing_grid_geom,i03_j04,to_i03_j03_Lz:initial-2,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/alpha_gamma_grid/eqb_alpha_gamma_grid/dns_space_map/grid_map/E/geom/i03_j04/to_i03_j03_Lz/initial-2/ubest.nc,147.96487000,ok,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/alpha_gamma_grid/eqb_alpha_gamma_grid/dns_space_map/grid_map/E/re_fix_m01/i03_j04
E,4,4,7.14285714,3.71428571,7.14285714,3.67670000,existing_grid_geom,i04_j04,to_i04_j03_Lz:initial-2,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/alpha_gamma_grid/eqb_alpha_gamma_grid/dns_space_map/grid_map/E/geom/i04_j04/to_i04_j03_Lz/initial-2/ubest.nc,143.58375000,ok,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/alpha_gamma_grid/eqb_alpha_gamma_grid/dns_space_map/grid_map/E/re_fix_m01/i04_j04
E,5,4,7.85714286,3.71428571,7.85714286,3.67670000,existing_grid_geom,i05_j04,to_i05_j03_Lz:initial-2,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/alpha_gamma_grid/eqb_alpha_gamma_grid/dns_space_map/grid_map/E/geom/i05_j04/to_i05_j03_Lz/initial-2/ubest.nc,146.76207000,ok,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/alpha_gamma_grid/eqb_alpha_gamma_grid/dns_space_map/grid_map/E/re_fix_m01/i05_j04
E,6,4,8.57142857,3.71428571,8.57142857,3.67670000,existing_grid_geom,i06_j04,to_i06_j03_Lz:initial-2,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/alpha_gamma_grid/eqb_alpha_gamma_grid/dns_space_map/grid_map/E/geom/i06_j04/to_i06_j03_Lz/initial-2/ubest.nc,151.70011000,ok,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/alpha_gamma_grid/eqb_alpha_gamma_grid/dns_space_map/grid_map/E/re_fix_m01/i06_j04
E,7,4,9.28571429,3.71428571,9.48790707,3.71428571,existing_grid_geom,i09_j04,to_i08_j04_Lx:search-0,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/alpha_gamma_grid/eqb_alpha_gamma_grid/dns_space_map/grid_map/E/geom/i09_j04/to_i08_j04_Lx/search-0/ubest.nc,160.00804000,ok,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/alpha_gamma_grid/eqb_alpha_gamma_grid/dns_space_map/grid_map/E/re_fix_m01/i07_j04
E,8,4,10.00000000,3.71428571,10.00000000,3.72300156,existing_grid_geom,i08_j05,to_i08_j04_Lz:search-0,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/alpha_gamma_grid/eqb_alpha_gamma_grid/dns_space_map/grid_map/E/geom/i08_j05/to_i08_j04_Lz/search-0/ubest.nc,164.43699000,ok,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/alpha_gamma_grid/eqb_alpha_gamma_grid/dns_space_map/grid_map/E/re_fix_m01/i08_j04
E,9,4,10.71428571,3.71428571,10.71428571,3.67670000,existing_grid_geom,i09_j04,to_i09_j03_Lz:initial-2,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/alpha_gamma_grid/eqb_alpha_gamma_grid/dns_space_map/grid_map/E/geom/i09_j04/to_i09_j03_Lz/initial-2/ubest.nc,170.30856000,ok,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/alpha_gamma_grid/eqb_alpha_gamma_grid/dns_space_map/grid_map/E/re_fix_m01/i09_j04
E,10,4,11.42857143,3.71428571,11.42857143,3.67670000,existing_grid_geom,i10_j04,to_i10_j03_Lz:initial-2,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/alpha_gamma_grid/eqb_alpha_gamma_grid/dns_space_map/grid_map/E/geom/i10_j04/to_i10_j03_Lz/initial-2/ubest.nc,180.89004000,ok,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/alpha_gamma_grid/eqb_alpha_gamma_grid/dns_space_map/grid_map/E/re_fix_m01/i10_j04
E,11,4,12.14285714,3.71428571,12.14285714,3.67670000,existing_grid_geom,i11_j04,to_i11_j03_Lz:initial-2,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/alpha_gamma_grid/eqb_alpha_gamma_grid/dns_space_map/grid_map/E/geom/i11_j04/to_i11_j03_Lz/initial-2/ubest.nc,191.91413000,ok,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/alpha_gamma_grid/eqb_alpha_gamma_grid/dns_space_map/grid_map/E/re_fix_m01/i11_j04
E,12,4,12.85714286,3.71428571,12.85714286,3.70735070,existing_grid_geom,i12_j04,to_i12_j03_Lz:initial-2,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/alpha_gamma_grid/eqb_alpha_gamma_grid/dns_space_map/grid_map/E/geom/i12_j04/to_i12_j03_Lz/initial-2/ubest.nc,196.35895000,ok,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/alpha_gamma_grid/eqb_alpha_gamma_grid/dns_space_map/grid_map/E/re_fix_m01/i12_j04
E,13,4,13.57142857,3.71428571,13.57142857,3.67670000,existing_grid_geom,i13_j04,to_i13_j03_Lz:initial-2,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/alpha_gamma_grid/eqb_alpha_gamma_grid/dns_space_map/grid_map/E/geom/i13_j04/to_i13_j03_Lz/initial-2/ubest.nc,203.33505000,ok,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/alpha_gamma_grid/eqb_alpha_gamma_grid/dns_space_map/grid_map/E/re_fix_m01/i13_j04
E,14,4,14.28571429,3.71428571,14.28571429,3.74454906,existing_grid_geom,i14_j03,to_i14_j02_Lz:search-18,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/alpha_gamma_grid/eqb_alpha_gamma_grid/dns_space_map/grid_map/E/geom/i14_j03/to_i14_j02_Lz/search-18/ubest.nc,209.45995000,ok,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/alpha_gamma_grid/eqb_alpha_gamma_grid/dns_space_map/grid_map/E/re_fix_m01/i14_j04
E,15,4,15.00000000,3.71428571,15.00000000,3.69536495,existing_grid_geom,i15_j03,to_i15_j02_Lz:search-14,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/alpha_gamma_grid/eqb_alpha_gamma_grid/dns_space_map/grid_map/E/geom/i15_j03/to_i15_j02_Lz/search-14/ubest.nc,225.25445000,ok,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/alpha_gamma_grid/eqb_alpha_gamma_grid/dns_space_map/grid_map/E/re_fix_m01/i15_j04
E,1,5,5.00000000,4.28571429,,,,,,,,missing,
E,2,5,5.71428571,4.28571429,,,,,,,,missing,
E,3,5,6.42857143,4.28571429,6.31763616,4.28571429,existing_grid_geom,i03_j05,to_i02_j05_Lx:initial-2,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/alpha_gamma_grid/eqb_alpha_gamma_grid/dns_space_map/grid_map/E/geom/i03_j05/to_i02_j05_Lx/initial-2/ubest.nc,275.01351000,ok,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/alpha_gamma_grid/eqb_alpha_gamma_grid/dns_space_map/grid_map/E/re_fix_m01/i03_j05
