physical_id,segment_index,Re,group,from_Lx,from_Lz,target_Lx,target_Lz,cont,dmu,target_mu,ns,T,seed,symm,out_dir,seed_exists
re300_lx10_lz6_018,1,300.0,E,10.0,6.0,5.511566576198634,3.3069399457191806,Diag,-0.01,6.42753591421029,80,10.0,/home/ebenq/Dev/julia/CloudAtlas.jl/catalog/equilibria/re300_lx10_lz6_018/ubest.nc,/home/ebenq/Dev/julia/CloudAtlas.jl/catalog/dns_geometry_to_ghc/symm_files/symm_E.asc,/home/ebenq/Dev/julia/CloudAtlas.jl/catalog/dns_geometry_to_ghc/re300_lx10_lz6_018/to_ghc/01_diag,true
re300_lx10_lz6_018,2,300.0,E,5.511566576198634,3.3069399457191806,5.511566576198634,2.5132741228718345,Lz,-0.01,2.5132741228718345,80,10.0,/home/ebenq/Dev/julia/CloudAtlas.jl/catalog/equilibria/re300_lx10_lz6_018/ubest.nc,/home/ebenq/Dev/julia/CloudAtlas.jl/catalog/dns_geometry_to_ghc/symm_files/symm_E.asc,/home/ebenq/Dev/julia/CloudAtlas.jl/catalog/dns_geometry_to_ghc/re300_lx10_lz6_018/to_ghc/02_lz,true
re300_lx10_lz6_022,1,300.0,E,10.0,6.0,5.511566576198634,3.3069399457191806,Diag,-0.01,6.42753591421029,80,10.0,/home/ebenq/Dev/julia/CloudAtlas.jl/catalog/equilibria/re300_lx10_lz6_022/ubest.nc,/home/ebenq/Dev/julia/CloudAtlas.jl/catalog/dns_geometry_to_ghc/symm_files/symm_E.asc,/home/ebenq/Dev/julia/CloudAtlas.jl/catalog/dns_geometry_to_ghc/re300_lx10_lz6_022/to_ghc/01_diag,true
re300_lx10_lz6_022,2,300.0,E,5.511566576198634,3.3069399457191806,5.511566576198634,2.5132741228718345,Lz,-0.01,2.5132741228718345,80,10.0,/home/ebenq/Dev/julia/CloudAtlas.jl/catalog/equilibria/re300_lx10_lz6_022/ubest.nc,/home/ebenq/Dev/julia/CloudAtlas.jl/catalog/dns_geometry_to_ghc/symm_files/symm_E.asc,/home/ebenq/Dev/julia/CloudAtlas.jl/catalog/dns_geometry_to_ghc/re300_lx10_lz6_022/to_ghc/02_lz,true
re300_lx10_lz6_023,1,300.0,E,10.0,6.0,5.511566576198634,3.3069399457191806,Diag,-0.01,6.42753591421029,80,10.0,/home/ebenq/Dev/julia/CloudAtlas.jl/catalog/equilibria/re300_lx10_lz6_023/ubest.nc,/home/ebenq/Dev/julia/CloudAtlas.jl/catalog/dns_geometry_to_ghc/symm_files/symm_E.asc,/home/ebenq/Dev/julia/CloudAtlas.jl/catalog/dns_geometry_to_ghc/re300_lx10_lz6_023/to_ghc/01_diag,true
re300_lx10_lz6_023,2,300.0,E,5.511566576198634,3.3069399457191806,5.511566576198634,2.5132741228718345,Lz,-0.01,2.5132741228718345,80,10.0,/home/ebenq/Dev/julia/CloudAtlas.jl/catalog/equilibria/re300_lx10_lz6_023/ubest.nc,/home/ebenq/Dev/julia/CloudAtlas.jl/catalog/dns_geometry_to_ghc/symm_files/symm_E.asc,/home/ebenq/Dev/julia/CloudAtlas.jl/catalog/dns_geometry_to_ghc/re300_lx10_lz6_023/to_ghc/02_lz,true
re300_lx10_lz6_001,1,300.0,G,10.0,6.0,5.511566576198634,3.3069399457191806,Diag,-0.01,6.42753591421029,80,10.0,/home/ebenq/Dev/julia/CloudAtlas.jl/catalog/equilibria/re300_lx10_lz6_001/ubest.nc,/home/ebenq/Dev/julia/CloudAtlas.jl/catalog/dns_geometry_to_ghc/symm_files/symm_G.asc,/home/ebenq/Dev/julia/CloudAtlas.jl/catalog/dns_geometry_to_ghc/re300_lx10_lz6_001/to_ghc/01_diag,true
re300_lx10_lz6_001,2,300.0,G,5.511566576198634,3.3069399457191806,5.511566576198634,2.5132741228718345,Lz,-0.01,2.5132741228718345,80,10.0,/home/ebenq/Dev/julia/CloudAtlas.jl/catalog/equilibria/re300_lx10_lz6_001/ubest.nc,/home/ebenq/Dev/julia/CloudAtlas.jl/catalog/dns_geometry_to_ghc/symm_files/symm_G.asc,/home/ebenq/Dev/julia/CloudAtlas.jl/catalog/dns_geometry_to_ghc/re300_lx10_lz6_001/to_ghc/02_lz,true
re300_lx10_lz6_003,1,300.0,G,10.0,6.0,5.511566576198634,3.3069399457191806,Diag,-0.01,6.42753591421029,80,10.0,/home/ebenq/Dev/julia/CloudAtlas.jl/catalog/equilibria/re300_lx10_lz6_003/ubest.nc,/home/ebenq/Dev/julia/CloudAtlas.jl/catalog/dns_geometry_to_ghc/symm_files/symm_G.asc,/home/ebenq/Dev/julia/CloudAtlas.jl/catalog/dns_geometry_to_ghc/re300_lx10_lz6_003/to_ghc/01_diag,true
re300_lx10_lz6_003,2,300.0,G,5.511566576198634,3.3069399457191806,5.511566576198634,2.5132741228718345,Lz,-0.01,2.5132741228718345,80,10.0,/home/ebenq/Dev/julia/CloudAtlas.jl/catalog/equilibria/re300_lx10_lz6_003/ubest.nc,/home/ebenq/Dev/julia/CloudAtlas.jl/catalog/dns_geometry_to_ghc/symm_files/symm_G.asc,/home/ebenq/Dev/julia/CloudAtlas.jl/catalog/dns_geometry_to_ghc/re300_lx10_lz6_003/to_ghc/02_lz,true
re300_lx10_lz6_004,1,300.0,G,10.0,6.0,5.511566576198634,3.3069399457191806,Diag,-0.01,6.42753591421029,80,10.0,/home/ebenq/Dev/julia/CloudAtlas.jl/catalog/equilibria/re300_lx10_lz6_004/ubest.nc,/home/ebenq/Dev/julia/CloudAtlas.jl/catalog/dns_geometry_to_ghc/symm_files/symm_G.asc,/home/ebenq/Dev/julia/CloudAtlas.jl/catalog/dns_geometry_to_ghc/re300_lx10_lz6_004/to_ghc/01_diag,true
re300_lx10_lz6_004,2,300.0,G,5.511566576198634,3.3069399457191806,5.511566576198634,2.5132741228718345,Lz,-0.01,2.5132741228718345,80,10.0,/home/ebenq/Dev/julia/CloudAtlas.jl/catalog/equilibria/re300_lx10_lz6_004/ubest.nc,/home/ebenq/Dev/julia/CloudAtlas.jl/catalog/dns_geometry_to_ghc/symm_files/symm_G.asc,/home/ebenq/Dev/julia/CloudAtlas.jl/catalog/dns_geometry_to_ghc/re300_lx10_lz6_004/to_ghc/02_lz,true
re300_lx10_lz6_005,1,300.0,G,10.0,6.0,5.511566576198634,3.3069399457191806,Diag,-0.01,6.42753591421029,80,10.0,/home/ebenq/Dev/julia/CloudAtlas.jl/catalog/equilibria/re300_lx10_lz6_005/ubest.nc,/home/ebenq/Dev/julia/CloudAtlas.jl/catalog/dns_geometry_to_ghc/symm_files/symm_G.asc,/home/ebenq/Dev/julia/CloudAtlas.jl/catalog/dns_geometry_to_ghc/re300_lx10_lz6_005/to_ghc/01_diag,true
re300_lx10_lz6_005,2,300.0,G,5.511566576198634,3.3069399457191806,5.511566576198634,2.5132741228718345,Lz,-0.01,2.5132741228718345,80,10.0,/home/ebenq/Dev/julia/CloudAtlas.jl/catalog/equilibria/re300_lx10_lz6_005/ubest.nc,/home/ebenq/Dev/julia/CloudAtlas.jl/catalog/dns_geometry_to_ghc/symm_files/symm_G.asc,/home/ebenq/Dev/julia/CloudAtlas.jl/catalog/dns_geometry_to_ghc/re300_lx10_lz6_005/to_ghc/02_lz,true
re300_lx10_lz6_009,1,300.0,G,10.0,6.0,5.511566576198634,3.3069399457191806,Diag,-0.01,6.42753591421029,80,10.0,/home/ebenq/Dev/julia/CloudAtlas.jl/catalog/equilibria/re300_lx10_lz6_009/ubest.nc,/home/ebenq/Dev/julia/CloudAtlas.jl/catalog/dns_geometry_to_ghc/symm_files/symm_G.asc,/home/ebenq/Dev/julia/CloudAtlas.jl/catalog/dns_geometry_to_ghc/re300_lx10_lz6_009/to_ghc/01_diag,true
re300_lx10_lz6_009,2,300.0,G,5.511566576198634,3.3069399457191806,5.511566576198634,2.5132741228718345,Lz,-0.01,2.5132741228718345,80,10.0,/home/ebenq/Dev/julia/CloudAtlas.jl/catalog/equilibria/re300_lx10_lz6_009/ubest.nc,/home/ebenq/Dev/julia/CloudAtlas.jl/catalog/dns_geometry_to_ghc/symm_files/symm_G.asc,/home/ebenq/Dev/julia/CloudAtlas.jl/catalog/dns_geometry_to_ghc/re300_lx10_lz6_009/to_ghc/02_lz,true
