Lx,Lz,alpha,gamma,id,residual
5.833333333333333,6.0,1.0771174812307862,1.0471975511965976,3,NaN
5.833333333333333,6.333333333333333,1.0771174812307862,0.9920818906073031,3,NaN
5.833333333333333,6.666666666666667,1.0771174812307862,0.9424777960769379,3,NaN
5.833333333333333,7.0,1.0771174812307862,0.8975979010256552,3,NaN
5.833333333333333,7.333333333333333,1.0771174812307862,0.85679799643358,3,NaN
5.833333333333333,7.666666666666667,1.0771174812307862,0.8195459096321199,3,NaN
5.833333333333333,8.0,1.0771174812307862,0.7853981633974483,3,NaN
5.833333333333333,8.333333333333334,1.0771174812307862,0.7539822368615503,3,NaN
5.833333333333333,8.666666666666666,1.0771174812307862,0.7249829200591831,3,NaN
5.833333333333333,9.0,1.0771174812307862,0.6981317007977318,3,NaN
6.25,3.3333333333333335,1.0053096491487339,1.8849555921538759,3,NaN
6.25,3.6666666666666665,1.0053096491487339,1.71359599286716,3,NaN
6.25,4.0,1.0053096491487339,1.5707963267948966,3,NaN
6.25,4.333333333333333,1.0053096491487339,1.4499658401183662,3,NaN
6.25,4.666666666666667,1.0053096491487339,1.3463968515384828,3,NaN
6.25,5.0,1.0053096491487339,1.2566370614359172,3,NaN
6.25,5.333333333333333,1.0053096491487339,1.1780972450961724,3,NaN
6.25,5.666666666666667,1.0053096491487339,1.1087974071493387,3,NaN
6.25,6.0,1.0053096491487339,1.0471975511965976,3,NaN
6.25,6.333333333333333,1.0053096491487339,0.9920818906073031,3,NaN
6.25,6.666666666666667,1.0053096491487339,0.9424777960769379,3,NaN
6.25,7.0,1.0053096491487339,0.8975979010256552,3,NaN
6.25,7.333333333333333,1.0053096491487339,0.85679799643358,3,NaN
6.25,7.666666666666667,1.0053096491487339,0.8195459096321199,3,NaN
6.25,8.0,1.0053096491487339,0.7853981633974483,3,NaN
6.25,8.333333333333334,1.0053096491487339,0.7539822368615503,3,NaN
6.25,8.666666666666666,1.0053096491487339,0.7249829200591831,3,NaN
6.25,9.0,1.0053096491487339,0.6981317007977318,3,NaN
6.25,9.333333333333334,1.0053096491487339,0.6731984257692414,3,NaN
6.666666666666667,3.0,0.9424777960769379,2.0943951023931953,3,NaN
6.666666666666667,3.3333333333333335,0.9424777960769379,1.8849555921538759,3,NaN
6.666666666666667,3.6666666666666665,0.9424777960769379,1.71359599286716,3,NaN
