Lx,Lz,alpha,gamma,min_Re,count
10.2632,7.8947,0.61220529,0.79587385,104.90984476,8
9.2105,9.5789,0.68217635,0.65594017,139.25431465,7
7.1053,5.7895,0.88429557,1.08527253,108.52334875,3
5.0000,6.6316,1.25663706,0.94746144,286.42229975,1
11.8421,3.2632,0.53058033,1.92546743,216.26823119,2
11.3158,5.7895,0.55525772,1.08527253,112.66252293,4
5.0000,4.9474,1.25663706,1.26999743,149.79241616,4
12.8947,5.7895,0.48726882,1.08527253,121.60678790,3
10.7895,4.1053,0.58234258,1.53050576,145.77973201,3
7.1053,7.4737,0.88429557,0.84070612,192.31887552,1
11.3158,7.4737,0.55525772,0.84070612,104.27463957,4
10.2632,8.7368,0.61220529,0.71916323,112.73865486,8
6.5789,6.2105,0.95505104,1.01170362,245.16300168,1
12.8947,7.4737,0.48726882,0.84070612,109.07863166,4
7.1053,2.8421,0.88429557,2.21075448,193.90136253,1
11.3158,2.8421,0.55525772,2.21075448,268.36160056,2
12.8947,2.8421,0.48726882,2.21075448,299.34792660,2
10.7895,4.5263,0.58234258,1.38815043,131.54714468,3
5.5263,4.1053,1.13696059,1.53050576,126.10894551,5
13.4211,8.3158,0.46815725,0.75557196,108.77193072,5
13.4211,9.1579,0.46815725,0.68609455,109.04606998,4
10.7895,10.0000,0.58234258,0.62831853,127.44854456,7
5.5263,4.5263,1.13696059,1.38815043,137.23964098,2
7.1053,5.3684,0.88429557,1.17040185,117.03937615,3
7.1053,2.4211,0.88429557,2.59517794,262.38268100,2
11.3158,5.3684,0.55525772,1.17040185,117.93355290,3
13.4211,7.8947,0.46815725,0.79587385,109.83198094,7
12.8947,5.3684,0.48726882,1.17040185,127.96234171,3
5.0000,3.6842,1.25663706,1.70544088,144.84100400,3
8.1579,6.6316,0.77019641,0.94746144,105.40576270,2
5.5263,10.0000,1.13696059,0.62831853,286.74415843,1
10.2632,5.7895,0.61220529,1.08527253,107.61800513,5
8.1579,4.9474,0.77019641,1.26999743,108.42416680,6
15.0000,7.0526,0.41887902,0.89090340,120.90847836,3
13.9474,6.6316,0.45049151,0.94746144,118.70440358,4
8.6842,6.2105,0.72351919,1.01170362,101.91350402,3
13.9474,4.9474,0.45049151,1.26999743,144.54671090,3
10.2632,7.4737,0.61220529,0.84070612,103.12740217,4
13.4211,8.7368,0.46815725,0.71916323,108.50941312,5
14.4737,6.2105,0.43411051,1.01170362,125.89910421,4
10.2632,2.8421,0.61220529,2.21075448,248.29383704,2
11.8421,8.3158,0.53058033,0.75557196,106.07577473,7
11.8421,9.1579,0.53058033,0.68609455,110.04732993,7
7.1053,9.5789,0.88429557,0.65594017,215.53827344,4
5.0000,3.2632,1.25663706,1.92546743,149.72709274,3
11.3158,9.5789,0.55525772,0.65594017,116.24691190,7
12.8947,9.5789,0.48726882,0.65594017,111.16389799,5
11.8421,7.8947,0.53058033,0.79587385,105.41378128,7
6.0526,6.6316,1.03809690,0.94746144,143.73714266,1
6.5789,7.0526,0.95505104,0.89090340,170.34906720,2
6.0526,4.9474,1.03809690,1.26999743,128.66742097,4
10.2632,5.3684,0.61220529,1.17040185,112.04960065,4
12.3684,6.6316,0.50800308,0.94746144,110.81480598,3
8.1579,3.6842,0.77019641,1.70544088,141.39337356,3
11.8421,8.7368,0.53058033,0.71916323,107.59559278,7
12.3684,4.9474,0.50800308,1.26999743,132.67736990,3
10.7895,6.2105,0.58234258,1.01170362,106.65836605,3
13.4211,5.7895,0.46815725,1.08527253,124.82923699,3
13.9474,3.6842,0.45049151,1.70544088,203.62080155,1
9.7368,4.1053,0.64530290,1.53050576,136.76856821,3
13.4211,7.4737,0.46815725,0.84070612,111.14611735,2
7.6316,4.1053,0.82331167,1.53050576,122.39791591,3
9.2105,4.1053,0.68217635,1.53050576,132.60143895,3
5.5263,6.2105,1.13696059,1.01170362,151.10814416,3
9.7368,4.5263,0.64530290,1.38815043,124.01621973,3
8.1579,3.2632,0.77019641,1.92546743,167.22977816,1
7.6316,4.5263,0.82331167,1.38815043,113.07052457,3
10.2632,9.5789,0.61220529,0.65594017,125.78630450,7
13.9474,3.2632,0.45049151,1.92546743,247.31468333,1
9.2105,4.5263,0.68217635,1.38815043,120.62109202,3
9.7368,10.0000,0.64530290,0.62831853,139.58281242,8
6.0526,3.6842,1.03809690,1.70544088,130.54252546,3
7.6316,10.0000,0.82331167,0.62831853,208.72864319,2
8.6842,7.0526,0.72351919,0.89090340,105.26197591,4
11.8421,5.7895,0.53058033,1.08527253,115.49887471,4
5.0000,8.3158,1.25663706,0.75557196,255.02135399,1
5.0000,9.1579,1.25663706,0.68609455,299.02971493,1
12.3684,3.6842,0.50800308,1.70544088,185.03223382,1
14.4737,7.0526,0.43411051,0.89090340,118.21653122,4
9.2105,10.0000,0.68217635,0.62831853,149.34776161,8
13.4211,5.3684,0.46815725,1.17040185,131.52135688,3
11.8421,7.4737,0.53058033,0.84070612,105.57983976,3
11.8421,2.8421,0.53058033,2.21075448,278.59018003,2
5.0000,7.8947,1.25663706,0.79587385,236.34176480,1
15.0000,6.6316,0.41887902,0.94746144,124.47966058,4
6.0526,3.2632,1.03809690,1.92546743,148.55078010,1
15.0000,4.9474,0.41887902,1.26999743,152.80562939,4
12.3684,3.2632,0.50800308,1.92546743,223.90587821,2
5.0000,8.7368,1.25663706,0.71916323,281.20202832,1
13.4211,9.5789,0.46815725,0.65594017,110.42995989,6
10.7895,7.0526,0.58234258,0.89090340,103.45773676,4
11.8421,5.3684,0.53058033,1.17040185,121.14772707,3
8.1579,8.3158,0.77019641,0.75557196,131.38841585,9
8.1579,9.1579,0.77019641,0.68609455,151.87732160,6
7.1053,4.1053,0.88429557,1.53050576,120.30312660,3
13.9474,8.3158,0.45049151,0.75557196,109.90544806,5
13.9474,9.1579,0.45049151,0.68609455,109.37740414,6
