timestamp,case,group,J,K,L,sol_id,status,error,job_dir
2026-03-08T16:34:02,re300_lx10_lz6,C,1,3,5,6,ok,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/C/jkl_1_3_5/dns_findsoln/sol006
2026-03-08T16:46:49,re300_lx10_lz6,C,2,4,8,3,not_converged,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/C/jkl_2_4_8/dns_findsoln/sol003
2026-03-08T16:52:41,re300_lx10_lz6,D,2,4,9,1,not_converged,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/D/jkl_2_4_9/dns_findsoln/sol001
2026-03-08T17:04:09,re300_lx10_lz6,D,2,4,9,2,ok,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/D/jkl_2_4_9/dns_findsoln/sol002
2026-03-08T17:04:09,re300_lx10_lz6,D,2,4,8,2,skip_after_converged,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/D/jkl_2_4_8/dns_findsoln/sol002
2026-03-08T17:04:09,re300_lx10_lz6,D,2,4,7,2,skip_after_converged,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/D/jkl_2_4_7/dns_findsoln/sol002
2026-03-08T17:04:09,re300_lx10_lz6,D,2,4,6,2,skip_after_converged,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/D/jkl_2_4_6/dns_findsoln/sol002
2026-03-08T17:04:09,re300_lx10_lz6,D,2,4,5,2,skip_after_converged,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/D/jkl_2_4_5/dns_findsoln/sol002
2026-03-08T17:04:09,re300_lx10_lz6,D,1,4,5,2,skip_after_converged,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/D/jkl_1_4_5/dns_findsoln/sol002
2026-03-08T17:04:09,re300_lx10_lz6,D,1,3,5,2,skip_after_converged,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/D/jkl_1_3_5/dns_findsoln/sol002
2026-03-08T17:10:04,re300_lx10_lz6,B,2,4,8,3,not_converged,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/B/jkl_2_4_8/dns_findsoln/sol003
2026-03-08T17:28:27,re300_lx10_lz6,D,2,4,8,1,ok,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/D/jkl_2_4_8/dns_findsoln/sol001
2026-03-08T17:28:27,re300_lx10_lz6,D,2,4,7,1,skip_after_converged,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/D/jkl_2_4_7/dns_findsoln/sol001
2026-03-08T17:28:27,re300_lx10_lz6,D,2,4,6,1,skip_after_converged,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/D/jkl_2_4_6/dns_findsoln/sol001
2026-03-08T17:28:27,re300_lx10_lz6,D,2,4,5,1,skip_after_converged,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/D/jkl_2_4_5/dns_findsoln/sol001
2026-03-08T17:28:27,re300_lx10_lz6,D,1,4,5,1,skip_after_converged,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/D/jkl_1_4_5/dns_findsoln/sol001
2026-03-08T17:28:27,re300_lx10_lz6,D,1,3,5,1,skip_after_converged,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/D/jkl_1_3_5/dns_findsoln/sol001
2026-03-08T17:30:29,re300_lx10_lz6,D,2,4,7,3,not_converged,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/D/jkl_2_4_7/dns_findsoln/sol003
2026-03-08T17:36:42,re300_lx10_lz6,E,3,5,11,1,ok,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/E/jkl_3_5_11/dns_findsoln/sol001
2026-03-08T17:36:42,re300_lx10_lz6,E,3,5,10,1,skip_after_converged,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/E/jkl_3_5_10/dns_findsoln/sol001
2026-03-08T17:36:42,re300_lx10_lz6,E,3,5,9,1,skip_after_converged,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/E/jkl_3_5_9/dns_findsoln/sol001
2026-03-08T17:36:42,re300_lx10_lz6,E,3,4,9,1,skip_after_converged,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/E/jkl_3_4_9/dns_findsoln/sol001
2026-03-08T17:36:42,re300_lx10_lz6,E,2,4,9,1,skip_after_converged,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/E/jkl_2_4_9/dns_findsoln/sol001
2026-03-08T17:36:42,re300_lx10_lz6,E,2,4,8,1,skip_after_converged,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/E/jkl_2_4_8/dns_findsoln/sol001
2026-03-08T17:36:42,re300_lx10_lz6,E,2,4,7,1,skip_after_converged,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/E/jkl_2_4_7/dns_findsoln/sol001
