timestamp,case,group,J,K,L,sol_id,status,min_Re,error,csv_path
2026-03-07T14:46:59,re300_lx10_lz6,D,2,4,5,2,ok,146.3258974130924,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/D/jkl_2_4_5/bifurcations/bif_D_sol002.csv
2026-03-07T14:47:07,re300_lx10_lz6,B,3,4,9,1,ok,184.32884744631934,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/B/jkl_3_4_9/bifurcations/bif_B_sol001.csv
2026-03-07T14:51:23,re300_lx10_lz6,D,2,4,7,2,ok,245.6803558896977,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/D/jkl_2_4_7/bifurcations/bif_D_sol002.csv
2026-03-07T14:53:32,re300_lx10_lz6,D,2,4,7,1,ok,166.48344324839337,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/D/jkl_2_4_7/bifurcations/bif_D_sol001.csv
2026-03-07T14:54:01,re300_lx10_lz6,E,1,3,5,1,ok,105.0235129772005,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/E/jkl_1_3_5/bifurcations/bif_E_sol001.csv
2026-03-07T14:54:11,re300_lx10_lz6,E,1,3,5,2,ok,250.87461486329752,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/E/jkl_1_3_5/bifurcations/bif_E_sol002.csv
2026-03-07T14:54:20,re300_lx10_lz6,E,1,3,5,3,ok,183.29352992020654,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/E/jkl_1_3_5/bifurcations/bif_E_sol003.csv
2026-03-07T14:54:31,re300_lx10_lz6,E,1,3,5,4,ok,250.87461451785774,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/E/jkl_1_3_5/bifurcations/bif_E_sol004.csv
2026-03-07T14:54:42,re300_lx10_lz6,E,1,3,5,5,ok,183.29353019439637,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/E/jkl_1_3_5/bifurcations/bif_E_sol005.csv
2026-03-07T14:54:52,re300_lx10_lz6,E,1,3,5,6,ok,240.41687305968463,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/E/jkl_1_3_5/bifurcations/bif_E_sol006.csv
2026-03-07T14:55:12,re300_lx10_lz6,E,1,4,5,1,ok,274.505959148204,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/E/jkl_1_4_5/bifurcations/bif_E_sol001.csv
2026-03-07T14:55:29,re300_lx10_lz6,E,1,4,5,2,ok,274.50595914332536,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/E/jkl_1_4_5/bifurcations/bif_E_sol002.csv
2026-03-07T14:56:24,re300_lx10_lz6,E,1,4,5,3,ok,107.05906531717197,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/E/jkl_1_4_5/bifurcations/bif_E_sol003.csv
2026-03-07T14:56:43,re300_lx10_lz6,E,1,4,5,4,ok,227.1069374114619,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/E/jkl_1_4_5/bifurcations/bif_E_sol004.csv
2026-03-07T14:57:05,re300_lx10_lz6,E,1,4,5,5,ok,236.03276515997032,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/E/jkl_1_4_5/bifurcations/bif_E_sol005.csv
2026-03-07T14:57:23,re300_lx10_lz6,D,2,4,8,2,ok,232.45318234753515,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/D/jkl_2_4_8/bifurcations/bif_D_sol002.csv
2026-03-07T14:59:50,re300_lx10_lz6,E,2,4,5,2,ok,248.3501490174683,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/E/jkl_2_4_5/bifurcations/bif_E_sol002.csv
2026-03-07T15:00:24,re300_lx10_lz6,E,2,4,5,1,ok,173.90370352037758,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/E/jkl_2_4_5/bifurcations/bif_E_sol001.csv
2026-03-07T15:00:45,re300_lx10_lz6,D,2,4,8,1,ok,224.40071870338863,,/home/ebenq/dev/MyCloudAtlas.jl/notebooks/eqb_fuzzing/overnight_runs_updated/re300_lx10_lz6/D/jkl_2_4_8/bifurcations/bif_D_sol001.csv
